time,open,high,low,close,volume
2019-03-01,30274,31432,30274,31278,1231293
2019-03-04,31046,33209,31046,33131,2159830
2019-03-05,33209,36298,32668,32900,1352465
2019-03-06,32050,33054,32050,32745,815962
2019-03-07,32591,33054,32359,32436,713115
2019-03-08,32436,32436,31355,31510,1517915
2019-03-11,31432,31896,31201,31510,822075
2019-03-12,31587,32050,31510,31818,1432746
2019-03-13,31818,31818,31432,31510,1124763
2019-03-14,31355,32745,31355,32436,1510829
2019-03-15,32050,32822,32050,32668,1287320
2019-03-18,32436,33904,32436,33440,2222011
2019-03-19,33517,33672,32436,32591,1174541
2019-03-20,32513,32745,31973,32668,930047
2019-03-21,32436,33054,31664,31818,2197087
2019-03-22,31973,32205,31510,32050,1009338
2019-03-25,31664,31818,30737,31355,932690
2019-03-26,31355,31664,31046,31278,481600
2019-03-27,31201,31896,31201,31664,931234
2019-03-28,31587,31741,31355,31664,296111
2019-03-29,31664,32127,31587,31664,468418
2019-04-01,31973,31973,31587,31587,485279
2019-04-02,31818,31973,31510,31587,681023
2019-04-03,31664,31664,31201,31355,394580
2019-04-04,31432,31896,31355,31664,593592
2019-04-05,31664,31896,31432,31664,307187
2019-04-08,31587,31896,31587,31741,513274
2019-04-09,31818,31896,31123,31123,894113
2019-04-10,31278,31355,30274,30506,1040263
2019-04-11,30660,30660,29965,30197,688483
2019-04-12,30119,31664,29733,31587,1174325
2019-04-16,31587,32050,31123,31818,1077679
2019-04-17,31664,31818,31046,31201,670896
2019-04-18,31355,31355,30737,31046,635353
2019-04-19,31123,31587,30814,31355,713845
2019-04-22,31355,31587,31046,31123,654120
2019-05-07,32127,32822,31278,31278,1255680
2019-05-08,30892,30892,30351,30390,514730
2019-05-09,30814,30814,30158,30235,332280
2019-05-10,30235,30621,29772,30197,545760
2019-05-13,30119,31239,29733,30969,759280
2019-05-14,30660,31818,30583,31818,963990
2019-05-15,31896,32205,31510,31510,654310
2019-05-16,31510,31664,31355,31355,271190
2019-05-17,31587,31818,31316,31355,516050
2019-05-20,31355,31857,31355,31780,839280
2019-05-21,31973,32784,31973,32668,2206220
2019-05-22,32900,33402,32513,32900,1690050
2019-05-23,32900,33054,32745,33054,830590
2019-05-24,33054,33440,32745,33093,1508050
2019-05-27,33093,33517,32938,33517,785510
2019-05-28,33826,34753,33749,34753,1946040
2019-05-29,34753,34753,33904,34290,1069250
2019-05-30,34444,34985,33981,34637,1309010
2019-05-31,34756,35032,34321,34321,1401520
2019-06-03,33966,33966,32465,32465,1032910
2019-06-04,33097,33097,32465,32742,566630
2019-06-05,33492,33492,32860,33176,463030
2019-06-06,33097,33136,32584,32781,354600
2019-06-07,33176,34124,32939,34124,1115580
2019-06-10,34440,34440,34005,34163,690310
2019-06-11,34163,34519,33966,34203,769000
2019-06-12,34203,34598,34124,34282,846880
2019-06-13,34163,34282,33294,33294,725360
2019-06-14,33294,33808,33097,33768,519420
2019-06-17,33650,33926,32978,33334,513740
2019-06-18,33492,33571,33136,33571,309680
