time,open,high,low,close,volume
2019-03-01,59960,59960,59920,59960,34010
2019-03-04,59960,60080,58980,59960,8580
2019-03-05,58720,60010,58720,59960,35720
2019-03-06,59960,60130,59960,59960,9290
2019-03-07,59960,60400,59960,60330,19290
2019-03-08,60330,60330,59750,59750,2120
2019-03-11,59960,59960,59960,59960,20440
2019-03-12,60730,60730,60730,60730,10
2019-03-13,60730,60860,60010,60820,35650
2019-03-14,60820,62020,60820,60910,10980
2019-03-15,60910,61970,60910,61970,14420
2019-03-18,61970,66290,61970,65710,24690
2019-03-19,65710,65710,64890,65710,20760
2019-03-20,65670,65710,61690,65710,3820
2019-03-21,64890,68130,64890,68130,67840
2019-03-22,66930,66930,65710,65710,21290
2019-03-25,65710,65710,65290,65710,18830
2019-03-26,65710,65710,65290,65710,22040
2019-03-27,65710,65910,65710,65710,8990
2019-03-28,65290,65910,65290,65710,5250
2019-03-29,65710,65710,65710,65710,4190
2019-04-01,65710,65910,65710,65910,8040
2019-04-02,66120,66200,65710,66150,20920
2019-04-03,65710,65710,65710,65710,17170
2019-04-04,65710,65760,65710,65710,10520
2019-04-05,64890,65790,64890,65710,30360
2019-04-08,65710,65910,65710,65710,12080
2019-04-09,65710,66120,65710,65990,11480
2019-04-10,66090,66930,66040,66450,31420
2019-04-11,66450,66530,65990,66530,4660
2019-04-12,66530,66530,65710,66450,1940
2019-04-16,65710,65990,65710,65990,12480
2019-04-17,65760,65990,65760,65990,8090
2019-04-18,65910,66090,65710,65990,4650
2019-04-19,65910,65990,65760,65760,3950
2019-04-22,65760,67310,65090,65209,13360
2019-04-23,65670,65910,65670,65710,48590
2019-04-24,66120,66120,65710,65760,6570
2019-04-25,66120,66120,65710,66040,3530
2019-04-26,65710,66530,65710,66530,9420
2019-05-02,66530,67710,66480,66530,3940
2019-05-03,66530,66530,65710,66530,78290
2019-05-06,66530,66530,65760,66530,470
2019-05-07,65710,66530,65710,66530,7070
2019-05-08,66120,69820,66120,66740,26280
2019-05-09,66530,66740,66530,66740,14110
2019-05-10,66330,66530,66330,66530,510
2019-05-13,66120,66530,66120,66120,10250
2019-05-14,65760,66290,65760,66290,7350
2019-05-15,67350,67350,66150,66150,6260
2019-05-16,65910,66930,65760,66930,3410
2019-05-17,66930,66930,66930,66930,2000
2019-05-20,66120,66890,66120,66120,960
2019-05-21,66150,66450,66120,66150,3660
2019-05-22,65910,66240,65910,65910,8290
2019-05-23,65910,66450,65710,66450,7380
2019-05-24,67760,71050,66450,67760,169700
2019-05-27,67760,68990,67760,68990,700
2019-05-28,66530,66930,66530,66930,5090
2019-05-29,66930,66930,66530,66530,3190
2019-05-30,66450,67310,66450,67310,11270
2019-05-31,67310,67310,67310,67310,0
2019-06-03,67310,67310,65910,65910,1430
2019-06-04,65790,65790,65790,65790,1240
2019-06-05,67350,68070,66090,66090,23960
2019-06-06,66090,67680,66090,67260,20360
2019-06-07,66630,66630,66630,66630,150
