time,open,high,low,close,volume
2019-03-01,117964,118955,115981,118955,1125320
2019-03-04,119451,120145,118658,119847,990660
2019-03-05,119550,119649,118459,118955,1074790
2019-03-06,118955,119946,118955,119946,939310
2019-03-07,119946,120541,119847,120343,1014890
2019-03-08,119451,119946,118459,119649,1002300
2019-03-11,119649,120541,118955,120244,794310
2019-03-12,120343,120640,118856,119451,1048390
2019-03-13,119153,119649,117468,118757,1223310
2019-03-14,118757,118757,116774,117369,1156440
2019-03-15,117270,118063,117270,117964,598760
2019-03-18,117964,118757,117766,118757,660300
2019-03-19,118856,119054,117964,118757,809590
2019-03-20,118757,118757,117072,118757,592830
2019-03-21,118757,118856,117171,117468,660960
2019-03-22,117567,118063,116774,117865,481800
2019-03-25,116973,117369,115882,116973,815680
2019-03-26,117369,118063,116774,116973,459670
2019-03-27,116973,117468,116477,117270,459010
2019-03-28,116973,117171,115486,116180,620430
2019-03-29,116378,116576,114891,115486,944370
2019-04-01,115386,115783,113106,113701,959500
2019-04-02,113503,114990,113503,113701,504360
2019-04-03,113701,113900,111620,112908,761320
2019-04-04,112214,113701,111818,112214,451040
2019-04-05,112214,112710,111421,111818,522350
2019-04-08,111818,112214,109439,109538,621740
2019-04-09,109538,113007,106366,111520,1595160
2019-04-10,112214,112214,110033,111917,1003980
2019-04-11,112512,113999,112016,112908,1106190
2019-04-12,112115,113007,111520,112214,876490
2019-04-16,111421,112313,110727,112313,619310
2019-04-17,112413,112512,111322,112512,565610
2019-04-18,112512,114990,112313,113007,995140
2019-04-19,113999,114693,113602,113900,568360
2019-04-22,113999,114593,113701,113900,448080
2019-04-23,114100,114600,113400,114400,431630
2019-04-24,114400,114500,113400,114500,401640
2019-04-25,114500,115600,113900,115200,670050
2019-04-26,114500,115900,114200,115900,575360
2019-05-02,116500,118500,116000,118500,1077940
2019-05-03,118300,118600,117800,118500,868540
2019-05-06,117500,117700,116400,117300,846420
2019-05-07,117500,117900,116000,117000,468670
2019-05-08,116000,116500,114700,115500,704440
2019-05-09,115500,115900,114600,115500,545570
2019-05-10,115500,115900,114000,115400,560410
2019-05-13,115300,116000,115000,116000,616000
2019-05-14,116000,116800,115700,116800,653650
2019-05-15,117000,118200,117000,118000,820490
2019-05-16,118000,118800,117800,118000,744920
2019-05-17,118000,118000,117000,117900,631990
2019-05-20,117900,118900,117600,118300,900890
2019-05-21,118400,118900,118400,118800,613310
2019-05-22,119500,120100,118500,119500,707930
2019-05-23,119500,119700,118600,119400,639060
2019-05-24,118800,120400,118500,119900,898900
2019-05-27,120500,121000,119900,120500,423350
2019-05-28,120500,125000,120400,125000,1298700
2019-05-29,124500,124500,122800,123500,443520
2019-05-30,123000,124200,122000,124200,413490
2019-05-31,124000,125000,123600,124500,714840
2019-06-03,124000,124000,121900,122000,631510
2019-06-04,122000,122600,120000,121300,558310
2019-06-05,121800,121900,120800,121400,530380
2019-06-06,121300,121400,119400,121400,584270
2019-06-07,121500,122200,121500,122200,534680
2019-06-10,122600,124800,122500,124000,644970
2019-06-11,123600,124200,122800,124000,480010
2019-06-12,124000,124100,122500,123500,444310
2019-06-13,123400,123400,121100,121600,455860
2019-06-14,121100,123000,121100,121700,484660
2019-06-17,119500,120400,119000,119900,568680
2019-06-18,119900,120400,118000,118000,358970
2019-06-19,119500,119800,118300,119500,474540
2019-06-20,119600,123500,119500,123300,738760
2019-06-21,123200,123500,122400,123200,559790
2019-06-24,123200,123800,123200,123500,628250
2019-06-25,123100,124500,123000,123900,655640
2019-06-26,123800,124500,123800,124200,690590
2019-06-27,124200,124600,124000,124500,663660
2019-06-28,124200,128000,124200,128000,977470
2019-07-01,126000,127800,126000,127000,780500
2019-07-02,127100,128699,126900,128500,609150
2019-07-03,128500,128600,127300,128500,491480
2019-07-04,128500,129900,128100,129500,559370
2019-07-05,129500,129800,129000,129500,420080
2019-07-08,129100,129100,127700,128500,606760
2019-07-09,128500,128900,127700,128900,629690
2019-07-10,129699,131500,129600,131500,803320
2019-07-11,131500,131500,130400,131300,599200
2019-07-12,131400,131600,130199,130199,604680
2019-07-15,131400,130400,129100,129500,592580
2019-07-16,129600,131000,129500,131000,817510
2019-07-17,131100,131100,129500,130000,597950
2019-07-18,130100,131000,128500,128500,612200
2019-07-19,130100,130300,128900,130199,590430
2019-07-22,131000,135000,131000,132000,511730
2019-07-23,131200,132100,131200,131900,426150
2019-07-24,131900,134000,131900,132800,679130
2019-07-25,133300,133800,132700,133000,771590
2019-07-26,132500,133100,132500,133000,717200
2019-07-29,133200,133700,133000,133400,585650
2019-07-30,133500,133800,133400,133400,492810
2019-07-31,133400,133900,132000,133400,849980
2019-08-01,132500,133400,131200,133000,888880
2019-08-02,132000,132400,131500,132400,752100
2019-08-05,131500,131500,130400,130699,799780
2019-08-06,129800,130100,128500,130100,893350
2019-08-07,130300,131100,130300,130900,533510
2019-08-08,131100,131500,130100,131100,671470
2019-08-09,131200,131700,130900,131700,819860
2019-08-12,132000,134500,131900,134500,801570
2019-08-13,133800,134200,132000,132500,526150
2019-08-14,132700,134000,131500,131600,1004290
2019-08-15,130199,131400,129000,130300,529870
2019-08-16,130000,130600,130000,130500,636040
2019-08-19,130500,131300,130000,130500,720980
2019-08-20,130500,130500,129500,130000,979530
2019-08-21,130199,130900,129600,130900,853770
2019-08-22,130900,132200,130699,132200,1047830
2019-08-23,132300,134000,132200,134000,1709500
2019-08-26,133800,133800,131500,132000,398470
2019-08-27,132000,132600,131600,132600,485470
2019-08-28,132000,132800,131600,132400,390240
2019-08-29,132400,132400,131700,132000,379870
2019-08-30,132400,132000,131400,132000,386150
2019-09-03,132000,132400,128600,132000,674010
2019-09-04,131500,131900,130300,130400,317510
2019-09-05,130400,130699,129900,130400,557030
2019-09-06,130400,130500,129000,130400,350770
2019-09-09,130600,133000,130500,132800,743950
2019-09-10,133200,133500,132600,133300,300980
2019-09-11,133300,133600,132200,133600,552470
2019-09-12,133700,137000,133600,137000,677330
2019-09-13,137000,138700,137000,138200,581100
2019-09-16,138200,140600,138200,140500,918890
2019-09-17,140000,140500,139600,140300,1660130
2019-09-18,140300,140300,137600,139700,443680
2019-09-19,139700,139900,138200,139500,513500
2019-09-20,139000,139400,138000,138000,3731860
2019-09-23,138000,138000,137400,137600,319890
2019-09-24,137500,138000,137500,137600,447380
2019-09-25,137500,137700,135000,136000,414030
2019-09-26,135300,136300,135300,136000,325980
2019-09-27,136100,136700,135500,136600,437980
2019-09-30,136000,137800,136000,137700,488290
2019-10-01,137800,137800,136800,137500,340010
